item,itemLabel,position,positionLabel,start,psid
Q10522744,Abdoulkader Kamil Mohamed,Q30100591,Prime Minister of Djibouti,2013-04-01,Q10522744-dfd011c4-47d3-ef4e-8ecd-46775934c3da
Q27038707,Ali Hassan Bahdon,Q110573451,Minister of Justice,2019-05-05,Q27038707-7862AA9F-3F1E-4678-A8C5-447AB03F8639
Q57390,Ismail Omar Guelleh,Q19058485,President of Djibouti,1999-05-08,Q57390-9fb96d92-42ca-9e7b-c724-9511ea1708e4
Q58256,Mahamoud Ali Youssouf,Q19901417,Minister of Foreign Affairs,2005-05-22,Q58256-BA1B4780-D05B-42EF-A327-51A29DA5793E
