position,title
Q19058485,President
Q30100591,Prime Minister
Q110572981,Minister of Agriculture
Q110572972,Minister of Budget
Q110572989,Minister of the City
Q110572991,Minister of Commerce and Tourism
Q110572990,Minister of Communication
Q100269599,Minister of Defence
Q110572914,Minister of Economy and Finance
Q110572985,Minister of Energy
Q110572988,Minister of the Environment
Q19901417,Minister of Foreign Affairs
Q110572973,Minister of Health
Q110572976,Minister of Higher Education
Q110572982,Minsiter of Infrastructure and Equipment
Q110572962,Minister of the Interior
Q110573451,Minister of Justice
Q110572987,Minister of Labour
Q110572983,Minister of Muslim Affairs
Q110572974,Minister of National Education
Q110572984,Minister of Social Affairs
Q110572978,Minister of Women and Family
Q110572992,Minister of Youth and Culture
Q110572994,Minister Delegate responsible for Decentralization
Q110572997,Minister Delegate reponsiblse for the Digial Economy and Innovation
Q110572999,State Secretary for Invements
Q110573002,State Secretary for Sports
